trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
180,False,"{'a': 0.9964064363598791, 'e': 0.16529888822158653}",30,15,-9.963909922436656,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
181,False,"{'a': 0.9963865082311519, 'e': 0.16365413680270405}",30,20,16.683554242215873,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9963665805009873, 'e': 0.16202575093388075}",25,12,10.405538512854434,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.9963466531693772, 'e': 0.16041356777517274}",30,17,22.243882475817703,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9963267262363138, 'e': 0.15881742610692068}",20,6,7.515424974214759,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.996306799701789, 'e': 0.1572371663136276}",30,21,11.422017070357672,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.996286873565795, 'e': 0.1556726303679973}",20,7,1.613840372866457,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
187,False,"{'a': 0.9962669478283237, 'e': 0.1541236618151314}",20,7,10.128894421199956,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.9962470224893671, 'e': 0.15259010575688386}",20,4,24.670166541711293,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.9962270975489173, 'e': 0.15107180883637084}",20,5,13.83911282615054,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.9962071730069663, 'e': 0.14956861922263504}",25,19,11.372126039105831,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.9961872488635062, 'e': 0.14808038659546244}",25,8,29.030982190542836,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.9961673251185289, 'e': 0.14660696213035015}",20,6,13.348425525211045,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.9961474017720264, 'e': 0.14514819848362373}",20,7,23.260581488290832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.996127478823991, 'e': 0.14370394977770293}",20,12,-29.497130188913243,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
195,False,"{'a': 0.9961075562744145, 'e': 0.1422740715865136}",25,11,28.21349384986619,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.996087634123289, 'e': 0.140858420921045}",25,3,12.374760241055531,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
197,False,"{'a': 0.9960677123706065, 'e': 0.13945685621505094}",30,18,25.24833521334584,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.9960477910163591, 'e': 0.13806923731089282}",20,2,27.91695733394463,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.9960278700605387, 'e': 0.13669542544552385}",20,11,22.286960727829076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
