trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.9977026200258633, 'e': 0.31663676937905316}",25,0,22.402733117261256,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
116,False,"{'a': 0.9976826659734628, 'e': 0.3134861808826053}",20,0,-10.32325842959457,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
117,False,"{'a': 0.9976627123201434, 'e': 0.31036694126548503}",25,0,40.18592110785889,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.997642759065897, 'e': 0.30727873860113125}",25,10,12.647369712640403,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.9976228062107155, 'e': 0.3042212640667041}",20,12,13.530890255512084,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.9976028537545913, 'e': 0.30119421191220214}",25,11,-2.79319495965328,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.9975829016975162, 'e': 0.2981972794298874}",30,0,-3.8270575154856807,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
122,False,"{'a': 0.9975629500394823, 'e': 0.2952301669240142}",20,0,-11.451139158295412,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
123,False,"{'a': 0.9975429987804815, 'e': 0.2922925776808594}",30,17,4.256560830498224,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.9975230479205058, 'e': 0.2893842179390506}",30,0,-3.8745791931528153,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
125,False,"{'a': 0.9975030974595473, 'e': 0.2865047968601901}",20,11,16.128867360098184,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.9974831473975981, 'e': 0.2836540264997704}",25,6,-13.853593156095284,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 0}",1
127,False,"{'a': 0.9974631977346502, 'e': 0.2808316217783798}",25,5,2.270745188552751,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.9974432484706954, 'e': 0.27803730045319414}",20,0,-40.1282104605941,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
129,False,"{'a': 0.9974232996057261, 'e': 0.27527078308975234}",25,0,-27.283555906290907,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
130,False,"{'a': 0.9974033511397339, 'e': 0.2725317930340126}",20,12,0.8047044822237674,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.9973834030727111, 'e': 0.2698200563846868}",20,11,16.874744602747008,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.9973634554046497, 'e': 0.26713530196585034}",30,0,-37.14098940972995,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
133,False,"{'a': 0.9973435081355415, 'e': 0.26447726129982396}",30,12,31.602827268972504,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.9973235612653788, 'e': 0.261845668580326}",25,13,7.900248848078405,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.9973036147941534, 'e': 0.2592402606458915}",30,7,8.621909886312833,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
136,False,"{'a': 0.9972836687218576, 'e': 0.2566607769535559}",20,13,-42.32300743683462,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.9972637230484831, 'e': 0.25410695955280027}",20,6,12.789673083564297,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.9972437777740221, 'e': 0.25157855305975646}",20,10,0.07318246960466745,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9972238328984666, 'e': 0.24907530463166816}",35,0,-58.929738153508815,"{0: 28, 1: 3, 2: 1, 3: 2, 4: 1}",0
140,False,"{'a': 0.9972038884218086, 'e': 0.24659696394160643}",25,0,-4.191383287687076,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
141,False,"{'a': 0.9971839443440401, 'e': 0.2441432831534371}",20,15,10.835667401216499,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
